row_id,trigger,target,specification
1346,finishing a meal,how much food to leave,leave a small portion to show satisfaction
1347,finishing a meal,how to leave food,leave a small amount of food
1348,being given a gift,when to open the gift,wait for an invitation from the giver
1349,receiving a gift,when to open the gift,wait for an invitation
1350,receiving a gift,when to open the gift,wait until the giver invites you
1351,dinner invitation at someone's house,arrival time,arrive 15 to 20 minutes late
1352,casual dinners at someone's home,arrival time,arrive slightly later than invitation time
1353,dinner invitation at someone's home,arrival time,arrive 15 to 20 minutes late
1354,,,
1355,arriving or leaving,greeting behavior,greet everyone present
1356,arriving at social gatherings,greeting others,greet everyone individually upon arrival and departure
1357,during a meal at someone's house,how much food to eat,finish all the food on your plate
1358,dining at someone's home,how to show appreciation,finish all the food on your plate
1359,during meals,commenting on the drink,appreciate flavors and quality
1360,attending a gathering at someone's home,type of gift to bring,bring a high-quality token of appreciation
1361,being invited to someone's home,type of gift to bring,"bring a small, good-quality wine"
1362,attending gatherings at someone's home,type of gift to bring,bring a high-quality bottle of wine
1363,ending a phone call,farewell behavior,say 'bye' multiple times
1364,greeting or parting in social settings,handshake,shake hands to greet or say goodbye
1365,ending a phone call,how to say goodbye,say 'bye' multiple times
1366,participating in communal activities,contributing to group enjoyment,take turns in contributing
1367,social gatherings,participating in rounds,take turns in extending gestures of hospitality
1368,being in a group at a bar,participation in buying drinks,join in buying rounds to show camaraderie
1369,after a meal at someone's home,help with cleanup,offer to help clean up
1370,after a meal,offering help,offer to help clean up
1371,after a meal,offering help,offer to help with cleaning up
1372,during a meal,noise level and finishing food,avoid loud noises and finish all food
1373,,,
1374,during meals,how to eat,finish all the food on your plate
1375,visiting someone's home,bringing a gift,bring a small gift as appreciation
1376,being invited to someone's home,bringing a gift,bring a small gift as appreciation
1377,visiting someone's home,bringing a gift,bring a small token of appreciation
1378,,,
1379,passing by in public spaces,greeting people,acknowledge people politely
1380,arriving at a meeting or appointment,punctuality,be on time or notify in advance
1381,being offered food or refreshments,acceptance of the offer,accept as a sign of respect
1382,being offered refreshments,acceptance of refreshments,accept as a sign of appreciation
1383,being offered refreshments by the host,acceptance of refreshments,accept to show appreciation
1384,dining scenario,who pays the bill,allow the host to pay when insisted
1385,starting a meal,when to begin eating,wait for prayer or gratitude
1386,host insists on paying,who pays for the meal,let the host pay
1387,giving flowers as a gift,number of flowers,choose an odd number
1388,choosing a gift,type of gift,prefer simple and meaningful gifts
1389,giving flowers,number of flowers,avoid giving an even number
1390,passing or receiving items,which hand to use,use right hand or both hands
1391,giving or receiving items,which hand to use,use right hand or both hands
1392,giving or receiving items,which hand to use,use right hand or both hands
1393,visiting someone's home,offering and accepting food and drink,accept the offers as a sign of respect
1394,being offered food or drink by the host,how to respond,accept and try the offered items
1395,being served food or drink,guest's response,try everything offered by the host
1396,serving guests,dining options,offer choice between cutlery or hand-eating
1397,mealtime setting,method of eating,use cutlery or right hand appropriately
1398,before serving meals to guests,asking about dietary restrictions,inquire about dietary restrictions or preferences
1399,selecting gifts,how to choose gifts,consider recipient's sensitivities
1400,choosing gifts,consideration of recipient,avoid offending based on beliefs or restrictions
1401,choosing gifts,consideration of preferences and beliefs,be mindful of individual preferences and beliefs
1402,,,
1403,sitting down to a meal,when to start eating,wait for blessing and others to gather
1404,sitting down to a meal,when to start eating,wait for the blessing and everyone to be ready
1405,,,
1406,visiting community spaces,dress code,cover shoulders and knees
1407,entering a shared space,how to behave upon entry,dress modestly and announce oneself
1408,visiting someone's house,what to bring,bring a practical or shareable gift
1409,visiting someone's home for the first time,bringing a gift,bring a thoughtful gift
1410,visiting someone's home,type of gift to bring,bring a useful or shareable gift
1411,phone calls,introducing oneself,introduce yourself by your name
1412,making or answering phone calls,introducing oneself,always introduce oneself
1413,visiting someone's home,how to visit,arrange visits in advance
1414,,,
1415,arriving at a gathering,where to sit,stand until the host indicates
1416,sitting down to a meal,when to start eating,wait for everyone to be served and host to start
1417,sitting down to a meal,when to start eating,wait for host's signal and everyone to be served
1418,during a meal,when to start eating and toasting,wait for the host to initiate
1419,visiting a home,bringing a gift,bring a modest gift for the host or children
1420,visiting someone's home,bringing gifts,bring moderate and appropriate gifts
1421,visiting someone's home,type of gift,"bring a moderate, thoughtful gift"
1422,communal living,sharing possessions and space,share without expecting privacy
1423,close family relationships,ownership of possessions,prioritize communal sharing over personal ownership
1424,public interactions,sharing possessions and spaces,be open about sharing
1425,arriving at social events,arrival time,arrive slightly later than scheduled
1426,being invited to someone's house,arrival time,arrive 15-30 minutes late
1427,arriving at social gatherings,timing of arrival,arrive slightly later than the designated time
1428,finishing a meal,leaving food on plate,avoid leaving unfinished food
1429,communal meals,food consumption,avoid taking more food than you can eat and finish your plate
1430,finishing a meal,how to eat the food,finish all the food on the plate
1431,giving a gift,type of gift,avoid giving sharp objects
1432,giving a gift,type of gift,avoid gifts implying severance or overly personal
1433,bringing a gift,type of gift,choose symbolic and vibrant-wrapped gifts
1434,receiving items,how to receive items,use both hands together
1435,receiving or giving items,how to handle items,use both hands to show respect
1436,receiving items,how to receive items,use both hands to show respect
1437,,,
1438,being offered refreshments,acceptance of refreshments,accept to show respect
1439,complimenting an item in someone's home,how to praise,avoid excessive admiration
1440,end of a meal,complimenting the host,offer a polite compliment
1441,end of a meal,complimenting the host,compliment on cooking or hospitality
1442,end of a meal,complimenting the host,compliment the host on their cooking and hospitality
1443,receiving a gift,when to open the gift,do not open immediately
1444,giving a gift,how to present the gift,ensure they are well-wrapped
1445,receiving a gift,how to open the gift,open it immediately upon receipt
1446,being in public spaces,talking and yawning,talk quietly and cover mouth when yawning
1447,public spaces,tone of voice and yawns,speak moderately and conceal yawns with a hand
1448,public settings,behavior and manners,prioritize manners and social etiquette
1449,,,
1450,visiting the host,showing interest in family,show genuine interest in the host's family
1451,,,
1452,during a meal,finishing food on the plate,must finish all the food taken
1453,starting a meal,when to begin eating,wait for the host's signal
1454,sitting down to a meal,when to start eating,wait for the host's invitation
1455,giving a gift,type of items,avoid gifting items that symbolize severing ties
1456,gifting items,type of items,avoid items symbolizing negative intentions
1457,giving a gift,type of gift,avoid gifts symbolizing negative intentions
1458,greeting someone,how to acknowledge respect,pause to chat briefly
1459,being greeted,response to greeting,engage in small talk
1460,greeting someone,how to respond,pause to chat briefly
1461,receiving an invitation to a mourning event,how to respond,attend and show support
1462,attending mourning gatherings,bringing food,bring food as a sign of respect
1463,participating in communal gatherings,showing support and respect,engage actively in community events
1464,after a main meal,requesting additional servings,avoid asking for more food
1465,during a meal,asking for second helpings,avoid requesting more food
1466,after a meal,requesting second servings,do not request second helpings
1467,visiting someone's home,bringing a gift,"bring a gift, especially food"
1468,visiting someone's home,bringing food as a gift,consider it as a thoughtful gesture
1469,visiting someone's home,bringing a gift,bring food as a gift
1470,offering or gesturing towards others,which hand to use,use right hand or both hands
1471,offering or receiving items,which hand to use,use right hand or both hands
1472,offering or gesturing,which hand to use,use the right hand or both hands
1473,receiving an offer,how to respond to the offer,decline twice before accepting
1474,being offered something,response to the offer,politely decline at least once
1475,being offered something,initial response,refuse the offer initially
1476,during a visit,accepting refreshments,accept the refreshments offered
1477,being offered refreshments,acceptance of the offer,accept the offer as a sign of respect
1478,being offered refreshments by a host,acceptance of refreshments,accept the refreshments as a sign of respect
1479,during a meal,which hand to use,use your right hand for serving and eating
1480,end of a meal,how much food to leave,leave some food on your plate
1481,serving from shared dishes,which hand to use,always use your right hand
1482,giving a gift,how to present the gift,place it discreetly for the recipient
1483,giving a gift,how to present the gift,allow the recipient to open it privately
1484,being invited to someone's home,how to give a gift,subtly place it in a visible area
1485,making a payment,how to handle money,place money on the tray
1486,arriving late,informing about delay,notify your counterpart if delayed
1487,arriving late without informing,timeliness,inform ahead of delays or arrive on time
1488,entering a home,shoe removal and seating,remove shoes and wait for host
1489,entering a home,shoe placement,remove shoes and point towards the door
1490,entering a home,removing shoes,remove shoes and place neatly facing the door
1491,before and after a meal,expressing gratitude,say thank you
1492,,,
1493,,,
1494,presenting or receiving a gift,how to give or receive the gift,use both hands
1495,giving or receiving gifts,how to handle the gift,use both hands
1496,presenting a gift,how to present the gift,use both hands and present privately for individuals
1497,buying rounds for the group,payment behavior,take turns paying without expecting immediate reciprocation
1498,dining out with a group,how to split bills,split bills according to individual orders
1499,group expenses,contribution behavior,contribute equally and avoid relying repeatedly on others
1500,gift-giving,how to choose gifts,prioritize recipient's interests over cost
1501,choosing a gift,how to select a gift,reflect the recipient's interests
1502,visiting someone's home,bringing items,ask the host ahead of time
1503,being invited to someone's house,contributing to the gathering,bring something or offer help without imposing expectations
1504,bringing additional guests to someone's home,permission for guests,inquire before bringing extra guests
1505,,,
1506,being late,notification to others,notify others in advance
1507,being late,inform others,give advance notice
1508,unexpected visits during dinner,visiting behavior,arrange visits in advance
1509,,,
1510,planning a visit,how to visit someone,arrange visits in advance
1511,communal meal,when to start eating,wait for the host's indication
1512,sitting down to a meal,when to start eating,wait until everyone is served and host indicates
1513,starting a meal,when to begin eating,wait for everyone to be served and host's signal
1514,visiting someone's home,type of gift,choose modest and thoughtful gifts
1515,choosing a gift,gift appropriateness,select modest and appropriate gifts
1516,receiving a gift,when to open the gift,open it in front of the giver
1517,passing objects,which hand to use,use right hand or both hands
1518,passing objects,which hand to use,use right hand or both hands
1519,passing objects,which hand to use,use the right hand or both hands
1520,being offered refreshments,refusing the refreshments,try to accept the offer
1521,being offered refreshments,acceptance of refreshments,accept the refreshments politely
1522,being offered refreshments,how to respond,accept the refreshments politely
1523,,,
1524,,,
1525,finishing a meal,how to signal completion,leave a little food on the plate
1526,giving or receiving a gift,how to handle the gift,use both hands
1527,giving a gift,how to present the gift,use both hands to show respect
1528,giving or receiving a gift,how to handle the gift,use both hands
1529,entering a carpeted room or home,shoe-wearing behavior,remove shoes before entering
1530,entering certain rooms,shoe removal,remove shoes before entering
1531,entering a carpeted room or home,shoe removal,remove shoes if others do so
1532,at the dining table,passing items,use the right hand
1533,finishing a meal,when to leave the table,wait until everyone has finished
1534,during meals,hand visibility and passing food,keep both hands visible and use right hand
1535,giving a gift,consideration of recipient,consider their personal beliefs and preferences
1536,giving a gift,how to present the gift,use both hands or the right hand alone
1537,giving or receiving gifts,how to handle gifts,use both hands or right hand alone
1538,giving or receiving something,how to do it,use both hands or the right hand
1539,giving or receiving an item,which hand to use,use both hands or the right hand
1540,giving or receiving objects,which hand to use,use two hands or right hand alone
1541,visiting someone's home,bringing a gift,bring a small gift
1542,arriving at a visit,bringing a gift,bring a small gift for the host
1543,sitting down to a meal,when to start eating,wait for the host's indication
1544,dining,hand used for eating and passing,use the right hand
1545,eating or passing food,which hand to use,always use the right hand
1546,passing food or eating,which hand to use,use the right hand
1547,giving or receiving gifts,how to handle the gift,use both hands
1548,giving or receiving gifts,how to handle gifts,use both hands and do not open immediately
1549,receiving a gift,how to handle the gift,give and receive with both hands
1550,being offered something,initial response,decline the offer initially
1551,being offered something,initial response to offer,politely decline the offer initially
1552,offering a gesture,number of attempts,offer more than once
1553,visiting someone,duration of socializing,spend significant time socializing
1554,during mealtime,accepting invitations,accept the invitation to join
1555,visiting someone's home for the first time,bringing a gift,bring a small gift
1556,eating from a shared dish,which hand to use,use your right hand
1557,participating in communal eating,how to accept food,accept food when offered
1558,communal eating practices,acceptance of gestures,accept and participate respectfully
1559,attending a social gathering,duration of stay,stay for the entire duration
1560,participating in traditional gatherings,level of engagement,participate fully and appreciate each step
1561,during communal beverage serving,leaving early,stay for all rounds
1562,passing or receiving a gift,how to use hands,use two hands or the right hand only
1563,giving a gift,consideration of recipient,ensure the gift matches recipient's ability to reciprocate
1564,giving or receiving a gift,which hand to use,use both hands or the right hand
1565,acknowledging good news,how to show respect,treat the bearer to food and drinks
1566,group meal,paying the bill,offer to pay and accept polite refusal
1567,someone brings good news,how to show appreciation,treat them with food and drinks
1568,guest leaving the house,closing the door,wait patiently until they walk away
1569,guest leaving your home,door closing,wait and watch guest leave
1570,leaving a friend's house,closing the door,wait for them to watch you walk away
1571,during meals,hand and elbow position,keep hands visible above the table and do not rest elbows
1572,at the dining table,hand visibility and sharing food,keep hands visible and share food
1573,sitting at the table,hand and arm position,keep hands visible and do not rest elbows
1574,giving flowers as a gift,number of flowers in bouquet,ensure the bouquet has an odd number of flowers
1575,giving flowers as a gift,number of flowers in bouquet,ensure the bouquet has an odd number of flowers
1576,choosing a gift,gift appropriateness,ensure it respects recipient's preferences and traditions
1577,"acknowledging age, gender, and socio-economic status",gestures of respect and honor,offer gestures of respect towards others
1578,during social outings,covering costs for others,pay for others if invited or wealthy
1579,elder enters the room,behavior when an elder enters,stand up to show respect
1580,receiving an offer or compliment,how to express gratitude,initially decline to show modesty
1581,receiving an offer,how to respond,decline initially and compliment subtly
1582,receiving offers or compliments,initial response,politely decline first
1583,visiting a host's home,exploring rooms,do not explore uninvited rooms
1584,end of visit,offering of goodbye coffee,accept the goodbye coffee as a polite cue
1585,being offered goodbye coffee,how to respond,leave shortly after the offer
1586,sitting down to a meal,when to start eating,wait for everyone to be seated and the host to begin
1587,starting to eat,when to begin the meal,wait for everyone to be present
1588,sitting down to a meal,when to start eating,wait until everyone is served
1589,offering a gift,how to offer the gift,use two hands or the right hand only
1590,giving or receiving gifts,which hand to use,use two hands or the right hand only
1591,being offered something,initial response,initially decline then accept after insistence
1592,being offered something,initial response to offer,initially decline out of politeness
1593,offering items or gesturing,which hand to use,use right hand or both hands
1594,group meal,who pays the bill,offer to pay then defer politely
1595,dining scenario,who pays the bill,offer to pay but let the oldest or wealthiest person pay
1596,being offered food,initial response,politely decline first
1597,passing or accepting items,which hand to use,use the right hand or both hands
1598,giving or receiving items,which hand to use,use right hand or both hands
1599,passing or accepting items,which hand to use,use right hand or both hands
1600,departing guests,how to say goodbye,walk with them for some distance
1601,arriving at social invitations,arrival time,arrive half an hour late
1602,visitors departing,how to behave,walk with them for some distance
1603,,,
1604,sitting down to a meal,when to start eating,wait until everyone has been served
1605,starting a meal,who begins eating,wait for the host or eldest male
1606,receiving a gift container,how to return the container,return it filled with gifts
1607,returning a gift bag,what to include inside,place something inside the gift bag
1608,giving or receiving gifts,returning containers,return with something inside
1609,social settings,criticizing or asking questions,avoid direct criticism or intrusive questions
1610,publicly pointing out mistakes,how to criticize,avoid causing embarrassment
1611,asking personal questions,type of questions,"avoid asking about wealth, religion, or politics"
1612,bringing additional guests,informing the host,ask for permission in advance
1613,arriving early without warning,behavior towards the host,inform the host beforehand and offer help
1614,visiting someone's home,contribution to meal or gathering,inquire about what to bring
1615,dining out with others,sharing expenses,cover your own expenses and share fairly
1616,dining out with others,covering costs,cover your own costs and reciprocate
1617,social dining situations,covering expenses and reciprocating,ensure to share costs fairly and reciprocate generosity
1618,visiting someone's home,bringing a gift,"bring a small, simple gift"
1619,receiving a gift in front of the giver,how to open the gift,open the gift to show appreciation
1620,receiving a gift in front of the giver,when to open the gift,open the gift immediately
1621,,,
1622,being near sacred objects or spaces,handling items or recording,avoid contact with sacred objects and spaces without permission
1623,taking photographs or filming,when to ask for permission,ask for permission before photographing or filming
1624,arriving at someone's home,greeting others,acknowledge everyone present
1625,arriving at a gathering,greeting others and children,always greet everyone and show kindness to children
1626,arriving at a social gathering,acknowledging individuals,greet everyone upon arrival
1627,during a meal,participation in conversations,ensure everyone is included
1628,dining table,engagement in conversation,include everyone in the discussion
1629,during a meal,participation in conversation,include everyone in the conversation
1630,choosing a gift,type of gift,avoid items that symbolize negative intentions
1631,choosing a gift,type of items,avoid gifting sharp objects
1632,giving a gift,type of gift,avoid gifts symbolizing severing ties
1633,giving or receiving items,which hand to use,use right hand or both hands
1634,giving or receiving items,which hand to use,use right hand or both hands
1635,passing or receiving items,which hand to use,avoid using the left hand alone
1636,being offered food or drink,how to respond,accept the offer as a gesture of respect
1637,being offered food or drink,acceptance of the offer,accept at least a small portion
1638,accepting hospitality,participation level,"accept and partake, even minimally"
1639,seated together in a circle,sharing food,share food from communal dishes
1640,during communal dining,seating and serving positions,respect the designated seating and serving order
1641,during communal dining,when to start eating,wait for communal gestures and everyone to be served
1642,giving or receiving gifts,expectation of immediate acknowledgment,do not expect immediate opening or thanks
1643,offering a gift,how to present the gift,offer with the right hand while supporting the right elbow with the left
1644,giving a gift,which hand to use,use the right hand
1645,being offered something,how to respond,accept offerings graciously
1646,being offered something,response to the offer,accept with gratitude
1647,being offered something,how to respond,accept the offer as a sign of trust
1648,exiting a host's home,behavior when leaving,express appreciation and show reluctance to leave
1649,arriving or leaving a gathering,greeting and saying goodbye,greet and say goodbye to everyone
1650,arriving at or leaving a location,greeting or saying goodbye,acknowledge every individual present
1651,finishing a meal,how much food to eat,finish all the food on your plate
1652,starting to eat,when to begin eating,wait for the host to signal
1653,being at a meal,helping the host,insist on offering assistance
1654,offering or receiving gifts,how to handle the gift,use two hands to show respect
1655,offering a gift,how to present the gift,offer with both hands
1656,giving or receiving a gift,how to handle the gift,use both hands to show respect
1657,passing objects,which hand to use,use right hand or both hands
1658,passing objects,which hand to use,use right hand or both hands
1659,passing objects,which hand to use,use right hand or both hands
1660,being offered something by the host,acceptance of the offer,accept to show appreciation and respect
1661,accepting hospitality gestures,showing respect and appreciation,accept the gesture graciously
1662,being offered something by the host,acceptance of the offer,accept what is offered
1663,eating or serving food,which hand to use,use your right hand
1664,eating or serving food,which hand to use,use your right hand
1665,eating or serving without utensils,which hand to use,use your right hand
1666,choosing a gift,consideration of background,consider religious and cultural background
1667,giving a gift,type of gift,ensure it is culturally appropriate
1668,interacting with someone,initiating physical contact or conversation,wait for clear indication of acceptance
1669,offering something or making gestures,which hand to use,use both hands or predominantly the right hand
1670,interacting with others,initiating physical gestures or discussions,wait for invitation or initiation
1671,offering items or gesturing,how to use hands,use both hands
1672,offering items,which hand to use,use both hands or the right hand
1673,interacting in social settings,how to respond to greetings,wait for someone to initiate
1674,social gathering,greeting order,greet elders first
1675,group greeting,greeting order,honour elders first
1676,entering a home,shoe removal,remove shoes if host is barefoot
1677,,,
1678,being offered food,response to the offer,accept the food and express gratitude by eating
1679,accepting food offerings,initial serving size,serve smaller portions initially
1680,receiving a gift,initial response to the gift,refuse the gift politely at first
1681,receiving a gift,initial response,initially decline out of politeness
1682,receiving offers or gifts,how to respond,accept graciously rather than refuse
1683,being offered something,how to respond,accept the offer graciously
1684,accepting offers and gifts,how to respond,accept with gratitude
1685,arriving at the gathering,timing of arrival,arrive slightly late
1686,visiting someone's home,arrival time,arrive a bit later than the agreed time
1687,when leaving a visit,expressing eagerness to stay longer,always show eagerness to extend your visit
1688,at a communal meal,when to start eating,wait for the host to indicate
1689,mealtime,when to leave the table,wait for everyone to finish eating
1690,sitting down to a meal,when to start eating,wait for the host to start
1691,giving gifts,type of gift,choose thoughtful yet modest items
1692,giving a gift,type of gift,avoid overly expensive items or knives
1693,choosing a gift,gift value,select thoughtful yet modest gifts
1694,meeting or social gathering,dress code,dress neatly to show respect
1695,attending meetings and social occasions,dress code,wear appropriate formal attire
1696,offering seat to others,who to offer seat to,offer seat to older people or women
1697,visiting someone's home,bringing a gift,bring a small gift
1698,arriving at social gatherings,arrival time,arrive slightly late
1699,visiting someone's house,what to bring,bring a small gift
1700,communal meal,when to start eating,wait for the host's signal
1701,eating in front of others,offering food,always offer food to those without
1702,eating in front of others,offering food,always offer food to those without
1703,giving gifts,type of gift,avoid giving knives
1704,receiving a gift,when to open the gift,open immediately with minimal fanfare
1705,giving gifts,type of gifts,choose thoughtful gifts and avoid unlucky items
1706,offering items,how to gesture or present,use both hands or the right hand alone
1707,passing items,which hand to use,use right hand or both hands
1708,passing items,which hand to use,use the right hand
1709,receiving a gift,how to respond,offer a modest compliment and show appreciation without accepting immediately
1710,offering or complimenting,how to show sincerity,offer or compliment multiple times
1711,being offered something,initial response,decline the offer first
1712,entering a shared space,privacy and comfort,give notice before entering
1713,entering a room with opposite-gender guests,notice before entering,give notice beforehand
1714,arriving at a gathering,accepting refreshments,accept refreshments as a sign of respect
1715,eating or serving food,which hand to use,use the right hand
1716,dining customs,which hand to use,use the right hand for eating and passing food
1717,,,
1718,giving or passing gifts,which hand to use,use the right hand unless the object is heavy
1719,giving or accepting gifts,which hand to use,use the right hand
1720,giving gifts,which hand to use,use the right hand unless heavy
1721,during personal or religious practices,interrupting someone,avoid interrupting
1722,someone engaged in prayer,interrupting or walking in front,avoid interrupting or walking in front
1723,prayer or religious activity,walking in front of someone,avoid interrupting or walking in front
1724,using the bathroom at home,placement of personal items,leave bags outside the bathroom
1725,entering private spaces,bag placement,leave your bag at the door
1726,preparing or serving meals,asking about dietary restrictions,inquire before preparing or serving
1727,preparing a meal for guests,checking dietary restrictions,inquire about dietary restrictions or preferences
1728,preparing a meal,how to handle dietary restrictions,separate dietary groups when preparing or consuming
1729,at a meal,accepting food offers and finishing plate,accept additional servings and leave no leftovers
1730,being offered food by the host,accepting additional servings,accept politely and show gratitude
1731,during a meal,how much to eat,finish your plate to show appreciation
1732,giving a gift,how to select a gift,consider recipient's preferences and culture
1733,choosing gifts,how to select gifts,consider recipient's background
1734,giving or receiving items,which hand to use,use right hand or both hands
1735,initial greeting,how to address someone,use titles or last names only
1736,meeting someone new,using first name,wait for invitation before using
1737,interacting with someone,formality of address,use formal address until invited to do otherwise
1738,gatherings,arrival time,arrive no later than 30 minutes late
1739,gathering,arrival time,arrive within 30 minutes of the scheduled time
1740,planned gatherings,arrival time,arrive on time or within 30 minutes
1741,at the table,seasoning the food,avoid adding salt or pepper
1742,during meals,how much food to finish,finish all the food on your plate
1743,at a meal,finishing the food,finish all the food on your plate
1744,giving flowers as a gift,number of flowers,choose odd numbers excluding 13
1745,giving flowers as a gift,number of flowers,choose odd numbers but not 13
1746,giving flowers as a gift,number of flowers,"choose an odd number, not 13"
1747,engaging in conversation,physical level,bring yourself to same or lower level
1748,conversing with someone seated,your position relative to them,sit down or lower yourself
1749,during a conversation,standing position,avoid standing over the seated person
1750,greeting in a host's home,how to greet,greet at seated level
1751,entering someone's space,greeting order and level,greet in order of standing and at their level
1752,entering a room,greeting order,greet highest-ranking person first
1753,mealtime in communal setting,order of eating and serving,wait for elders to eat first and take only one serving
1754,starting a meal,when to begin eating,wait for the host or elders
1755,sitting down to a meal,when to start eating,wait until everyone is served and permission is given
1756,receiving a gift,how to show respect,briefly lift the gift above your head with both hands
1757,initially declining a gift,what to do next,offer the gift to a household member
1758,receiving a gift,how to show appreciation,briefly lift it above your head with both hands
1759,being offered something,initial response,decline the offer initially
1760,being offered something,initial response,"politely decline first, accept after insistence"
1761,offering gestures,initial response to gestures,offer and refuse multiple times
1762,visiting someone's home,behavior during gathering,be prepared to share belongings and socialize
1763,visiting someone's home,bringing a gift,bring a small gift and share it
1764,attending social gatherings,what to bring,bring something to share with everyone
1765,receiving and handling food,which hand to use,use the right hand
1766,,,
1767,at the dining table,handling food,use only the right hand
1768,giving or receiving a gift,how to handle the gift,offer and receive with both hands
1769,offering or receiving gifts,how to handle the gift,offer and receive with both hands
1770,offering and receiving gifts,how to handle the gift,offer and receive with two hands
1771,arriving at a door or line,who goes first,offer someone to go ahead
1772,asking personal questions,financial status,avoid asking about it
1773,asking personal questions,type of questions,"avoid asking about age, weight, or financial status"
1774,receiving services,tipping amount,tip 15-20%
1775,paying for service,tipping,tip a portion of the total cost
1776,paying for service,tip amount,tip between 15-20% of total
1777,bringing additional guests,notifying the host,notify the host in advance
1778,planning a visit,communication with host,make arrangements in advance and inform about changes
1779,visiting someone unexpectedly,how to visit,organize visits in advance and be punctual
1780,,,
1781,dining,when to start eating,wait until everyone is seated and served
1782,after a meal at someone's house,help with clearing the table,offer to help as a sign of gratitude
1783,receiving a gift,expression of gratitude,express gratitude effusively
1784,receiving a gift,how to respond,praise the gift regardless of appeal
1785,receiving a gift,expressing gratitude,always express gratitude regardless of the gift
1786,passing or receiving items,which hand to use,use right hand or both hands only
1787,passing or receiving items,which hand to use,use the right or both hands
1788,giving or receiving items,which hand to use,use the right hand or both hands
1789,being offered food or drink,acceptance of offer,accept what is offered to honor the host
1790,being offered food or drink,how to respond,accept even a small sip or bite
1791,visiting someone's home,bringing a gift,bring a small gift as appreciation
1792,starting to eat,who begins eating first,wait for the eldest person
1793,starting a meal,who begins eating,wait for the eldest person
1794,starting a meal,who begins eating first,wait for the eldest person to start
1795,offering a gift,how to present the gift,use both hands
1796,offering a gift,how to pass the gift,use right hand and support with left elbow
1797,giving a gift,how to pass the gift,use the right hand with support from the left
1798,passing things or gesturing,which hand to use,use the right hand or both hands
1799,using gestures or addressing people,how to show respect,use both hands and formal titles
1800,interacting with higher social status,eye contact,avoid direct eye contact
1801,being offered refreshments,how to respond,accept and share the refreshments
1802,being offered refreshments,refusing the offer,accept the refreshments politely
1803,visiting someone's house,bringing a gift,always bring a small gift
1804,being offered food by a host,acceptance of food,accept the food politely
1805,,,
1806,being offered food by a host,acceptance of food,accept and partake in the meal
1807,receiving a gift,initial response,refuse the gift politely first
1808,visiting someone's home,arrival method,do not arrive unannounced
1809,giving flowers to a friend,type of flowers,avoid yellow flowers
1810,using furniture,feet placement,avoid putting feet on furniture
1811,giving a wine gift,when to give wine,know the recipient's wine preferences
1812,next meeting,expressing gratitude,express gratitude towards the host
1813,arriving at a social gathering,guest arrival time,arrive only at the scheduled time
1814,dining with a group,how to pay the bill,pay for what you ordered
1815,being offered a gift,initial response to the gift,do not refuse immediately
1816,gift not accepted initially,what to do with the gift,give it to a family member of the recipient
1817,being offered food,how to respond,accept the food and eat everything
1818,going out in public,clothing,dress neatly and avoid old or dirty clothes
1819,interacting with family and community,sharing possessions and space,share openly with close members
1820,interacting with elders,behavior and language,behave formally and avoid rude jokes
1821,being invited to someone's house,arrival time,arrive at the designated time
1822,speaking with someone of higher social status,body language,bring oneself to eye level or lower
1823,receiving an invitation,response to the invitation,accept the invitation politely
1824,after a meal,food on the table,leave some food for others
1825,receiving a gift,how to praise the gift,express effusive praise focusing on intention
1826,leaving food on the table,when to leave food,leave some food for others
1827,giving gifts,type of gifts,avoid gifts with negative connotations
1828,giving a gift,gift quality,"ensure it is thoughtful, not too lavish"
1829,choosing a gift,what to consider,reflect the recipient's interests
1830,visiting someone's home,walking barefoot,gauge the host's reaction first
1831,encountering someone while eating,offering part of your meal,offer politely expecting refusal
1832,sitting relaxed,body posture,consider the situation and company
1833,being offered food,how to respond,politely decline if not hungry
1834,leaving someone's home,duration of stay,avoid overstaying unless invited to stay longer
1835,during a meal,accepting additional food,decline if not hungry
1836,using public transport,eating behavior,avoid eating to show good manners
1837,during meal preparation or cleanup,offering help,offer help politely to the host
1838,after finishing a meal,how much to eat,eat everything on your plate
1839,serving at a meal,order of serving,serve the eldest person first
1840,being in natural areas,littering behavior,clean up after yourself and do not litter
1841,finishing a meal,how much to eat,finish all the food on your plate
1842,,,
1843,being invited to someone's home,how to behave during the meal,offer to pay for the meal
1844,receiving service,leaving a tip,leave a tip as appreciation
1845,receiving service,tipping behavior,leave a tip as appreciation
1846,receiving service,offering a tip,offer a monetary tip
1847,arriving at social gatherings,punctuality,arrive 15-30 minutes late is acceptable
1848,arriving at social events,timing of arrival,arrive 15-30 minutes late
1849,social gatherings,arrival time,arrive 15-30 minutes late
1850,at a casual meal,sharing cooking tips,share knowledge without stealing the host's spotlight
1851,bringing alcohol or food,sharing with others,share with everyone present
1852,receiving a gift,how to respond,express gratitude verbally
1853,receiving a gift,how to show gratitude,express gratitude verbally or with a thank you note
1854,receiving a gift,how to respond,verbally express gratitude
1855,feeling unwell,wearing a mask,wear a mask to prevent spreading
1856,serving food,how to respond to additional servings,anticipate needs but show restraint
1857,not feeling well,wearing a face mask,wear a face mask to prevent spreading illness
1858,complimenting food,when to compliment,compliment regardless of taste
1859,being offered food,expression of appreciation,always express appreciation for the food
1860,being served food in syria,expressing appreciation,express appreciation regardless of preference
